DATE,GAME,YEAR,HOME/VISITOR,TEAM,POINTS,RESULT,PT_DIFF,PTS ALLOWED,OPPONENT
2014-10-28,DAL @ SAS,2015,HOME,SAS,101,W,1,100,DAL
2014-10-28,DAL @ SAS,2015,VISITOR,DAL,100,L,-1,101,SAS
2014-10-28,HOU @ LAL,2015,HOME,LAL,90,L,-18,108,HOU
2014-10-28,HOU @ LAL,2015,VISITOR,HOU,108,W,18,90,LAL
2014-10-28,ORL @ NOP,2015,HOME,NOP,101,W,17,84,ORL
2014-10-28,ORL @ NOP,2015,VISITOR,ORL,84,L,-17,101,NOP
2014-10-29,ATL @ TOR,2015,HOME,TOR,109,W,7,102,ATL
2014-10-29,ATL @ TOR,2015,VISITOR,ATL,102,L,-7,109,TOR
2014-10-29,BKN @ BOS,2015,HOME,BOS,121,W,16,105,BKN
2014-10-29,BKN @ BOS,2015,VISITOR,BKN,105,L,-16,121,BOS
2014-10-29,CHI @ NYK,2015,HOME,NYK,80,L,-24,104,CHI
2014-10-29,CHI @ NYK,2015,VISITOR,CHI,104,W,24,80,NYK
2014-10-29,DET @ DEN,2015,HOME,DEN,89,W,10,79,DET
2014-10-29,DET @ DEN,2015,VISITOR,DET,79,L,-10,89,DEN
2014-10-29,GSW @ SAC,2015,HOME,SAC,77,L,-18,95,GSW
2014-10-29,GSW @ SAC,2015,VISITOR,GSW,95,W,18,77,SAC
2014-10-29,HOU @ UTA,2015,HOME,UTA,93,L,-11,104,HOU
2014-10-29,HOU @ UTA,2015,VISITOR,HOU,104,W,11,93,UTA
2014-10-29,LAL @ PHO,2015,HOME,PHO,119,W,20,99,LAL
2014-10-29,LAL @ PHO,2015,VISITOR,LAL,99,L,-20,119,PHO
2014-10-29,MIL @ CHA,2015,HOME,CHA,108,W,2,106,MIL
2014-10-29,MIL @ CHA,2015,VISITOR,MIL,106,L,-2,108,CHA
2014-10-29,MIN @ MEM,2015,HOME,MEM,105,W,4,101,MIN
2014-10-29,MIN @ MEM,2015,VISITOR,MIN,101,L,-4,105,MEM
2014-10-29,OKC @ POR,2015,HOME,POR,106,W,17,89,OKC
2014-10-29,OKC @ POR,2015,VISITOR,OKC,89,L,-17,106,POR
2014-10-29,PHI @ IND,2015,HOME,IND,103,W,12,91,PHI
2014-10-29,PHI @ IND,2015,VISITOR,PHI,91,L,-12,103,IND
2014-10-29,WAS @ MIA,2015,HOME,MIA,107,W,12,95,WAS
2014-10-29,WAS @ MIA,2015,VISITOR,WAS,95,L,-12,107,MIA
2014-10-30,DET @ MIN,2015,HOME,MIN,97,W,6,91,DET
2014-10-30,DET @ MIN,2015,VISITOR,DET,91,L,-6,97,MIN
2014-10-30,NYK @ CLE,2015,HOME,CLE,90,L,-5,95,NYK
2014-10-30,NYK @ CLE,2015,VISITOR,NYK,95,W,5,90,CLE
2014-10-30,OKC @ LAC,2015,HOME,LAC,93,W,3,90,OKC
2014-10-30,OKC @ LAC,2015,VISITOR,OKC,90,L,-3,93,LAC
2014-10-30,UTA @ DAL,2015,HOME,DAL,120,W,18,102,UTA
2014-10-30,UTA @ DAL,2015,VISITOR,UTA,102,L,-18,120,DAL
2014-10-30,WAS @ ORL,2015,HOME,ORL,98,L,-7,105,WAS
2014-10-30,WAS @ ORL,2015,VISITOR,WAS,105,W,7,98,ORL
2014-10-31,CLE @ CHI,2015,HOME,CHI,108,L,-6,114,CLE
2014-10-31,CLE @ CHI,2015,VISITOR,CLE,114,W,6,108,CHI
2014-10-31,LAC @ LAL,2015,HOME,LAL,111,L,-7,118,LAC
2014-10-31,LAC @ LAL,2015,VISITOR,LAC,118,W,7,111,LAL
2014-10-31,MEM @ IND,2015,HOME,IND,89,L,-8,97,MEM
2014-10-31,MEM @ IND,2015,VISITOR,MEM,97,W,8,89,IND
2014-10-31,PHI @ MIL,2015,HOME,MIL,93,W,12,81,PHI
2014-10-31,PHI @ MIL,2015,VISITOR,PHI,81,L,-12,93,MIL
2014-10-31,POR @ SAC,2015,HOME,SAC,103,W,9,94,POR
2014-10-31,POR @ SAC,2015,VISITOR,POR,94,L,-9,103,SAC
2014-10-31,SAS @ PHO,2015,HOME,PHO,94,W,5,89,SAS
2014-10-31,SAS @ PHO,2015,VISITOR,SAS,89,L,-5,94,PHO
2014-11-01,BKN @ DET,2015,HOME,DET,90,L,-12,102,BKN
2014-11-01,BKN @ DET,2015,VISITOR,BKN,102,W,12,90,DET
2014-11-01,BOS @ HOU,2015,HOME,HOU,104,W,14,90,BOS
2014-11-01,BOS @ HOU,2015,VISITOR,BOS,90,L,-14,104,HOU
2014-11-01,CHI @ MIN,2015,HOME,MIN,105,L,-1,106,CHI
2014-11-01,CHI @ MIN,2015,VISITOR,CHI,106,W,1,105,MIN
2014-11-01,DAL @ NOP,2015,HOME,NOP,104,L,-5,109,DAL
2014-11-01,DAL @ NOP,2015,VISITOR,DAL,109,W,5,104,NOP
2014-11-01,DEN @ OKC,2015,HOME,OKC,102,W,11,91,DEN
2014-11-01,DEN @ OKC,2015,VISITOR,DEN,91,L,-11,102,OKC
2014-11-01,IND @ ATL,2015,HOME,ATL,102,W,10,92,IND
2014-11-01,IND @ ATL,2015,VISITOR,IND,92,L,-10,102,ATL
2014-11-01,LAL @ GSW,2015,HOME,GSW,127,W,23,104,LAL
2014-11-01,LAL @ GSW,2015,VISITOR,LAL,104,L,-23,127,GSW
2014-11-01,MEM @ CHA,2015,HOME,CHA,69,L,-2,71,MEM
2014-11-01,MEM @ CHA,2015,VISITOR,MEM,71,W,2,69,CHA
2014-11-01,MIA @ PHI,2015,HOME,PHI,96,L,-18,114,MIA
2014-11-01,MIA @ PHI,2015,VISITOR,MIA,114,W,18,96,PHI
2014-11-01,MIL @ WAS,2015,HOME,WAS,108,W,11,97,MIL
2014-11-01,MIL @ WAS,2015,VISITOR,MIL,97,L,-11,108,WAS
2014-11-01,PHO @ UTA,2015,HOME,UTA,118,W,27,91,PHO
2014-11-01,PHO @ UTA,2015,VISITOR,PHO,91,L,-27,118,UTA
2014-11-01,TOR @ ORL,2015,HOME,ORL,95,L,-13,108,TOR
2014-11-01,TOR @ ORL,2015,VISITOR,TOR,108,W,13,95,ORL
2014-11-02,CHA @ NYK,2015,HOME,NYK,96,W,3,93,CHA
2014-11-02,CHA @ NYK,2015,VISITOR,CHA,93,L,-3,96,NYK
2014-11-02,GSW @ POR,2015,HOME,POR,90,L,-5,95,GSW
2014-11-02,GSW @ POR,2015,VISITOR,GSW,95,W,5,90,POR
2014-11-02,SAC @ LAC,2015,HOME,LAC,92,L,-6,98,SAC
2014-11-02,SAC @ LAC,2015,VISITOR,SAC,98,W,6,92,LAC
2014-11-02,TOR @ MIA,2015,HOME,MIA,107,W,5,102,TOR
2014-11-02,TOR @ MIA,2015,VISITOR,TOR,102,L,-5,107,MIA
2014-11-03,BOS @ DAL,2015,HOME,DAL,118,W,5,113,BOS
2014-11-03,BOS @ DAL,2015,VISITOR,BOS,113,L,-5,118,DAL
2014-11-03,HOU @ PHI,2015,HOME,PHI,93,L,-11,104,HOU
2014-11-03,HOU @ PHI,2015,VISITOR,HOU,104,W,11,93,PHI
2014-11-03,NOP @ MEM,2015,HOME,MEM,93,W,12,81,NOP
2014-11-03,NOP @ MEM,2015,VISITOR,NOP,81,L,-12,93,MEM
2014-11-03,OKC @ BKN,2015,HOME,BKN,116,W,31,85,OKC
2014-11-03,OKC @ BKN,2015,VISITOR,OKC,85,L,-31,116,BKN
2014-11-03,SAC @ DEN,2015,HOME,DEN,105,L,-5,110,SAC
2014-11-03,SAC @ DEN,2015,VISITOR,SAC,110,W,5,105,DEN
2014-11-03,UTA @ LAC,2015,HOME,LAC,107,W,6,101,UTA
2014-11-03,UTA @ LAC,2015,VISITOR,UTA,101,L,-6,107,LAC
2014-11-04,CHA @ NOP,2015,HOME,NOP,100,W,9,91,CHA
2014-11-04,CHA @ NOP,2015,VISITOR,CHA,91,L,-9,100,NOP
2014-11-04,CLE @ POR,2015,HOME,POR,101,W,19,82,CLE
2014-11-04,CLE @ POR,2015,VISITOR,CLE,82,L,-19,101,POR
2014-11-04,HOU @ MIA,2015,HOME,MIA,91,L,-17,108,HOU
2014-11-04,HOU @ MIA,2015,VISITOR,HOU,108,W,17,91,MIA
2014-11-04,MIL @ IND,2015,HOME,IND,81,L,-6,87,MIL
2014-11-04,MIL @ IND,2015,VISITOR,MIL,87,W,6,81,IND
2014-11-04,OKC @ TOR,2015,HOME,TOR,100,W,12,88,OKC
2014-11-04,OKC @ TOR,2015,VISITOR,OKC,88,L,-12,100,TOR
2014-11-04,ORL @ CHI,2015,HOME,CHI,98,W,8,90,ORL
2014-11-04,ORL @ CHI,2015,VISITOR,ORL,90,L,-8,98,CHI
2014-11-04,PHO @ LAL,2015,HOME,LAL,106,L,-6,112,PHO
2014-11-04,PHO @ LAL,2015,VISITOR,PHO,112,W,6,106,LAL
2014-11-04,WAS @ NYK,2015,HOME,NYK,83,L,-15,98,WAS
2014-11-04,WAS @ NYK,2015,VISITOR,WAS,98,W,15,83,NYK
2014-11-05,ATL @ SAS,2015,HOME,SAS,94,W,2,92,ATL
2014-11-05,ATL @ SAS,2015,VISITOR,ATL,92,L,-2,94,SAS
2014-11-05,CHI @ MIL,2015,HOME,MIL,86,L,-9,95,CHI
2014-11-05,CHI @ MIL,2015,VISITOR,CHI,95,W,9,86,MIL
2014-11-05,CLE @ UTA,2015,HOME,UTA,102,W,2,100,CLE
2014-11-05,CLE @ UTA,2015,VISITOR,CLE,100,L,-2,102,UTA
2014-11-05,DEN @ SAC,2015,HOME,SAC,131,W,22,109,DEN
2014-11-05,DEN @ SAC,2015,VISITOR,DEN,109,L,-22,131,SAC
2014-11-05,IND @ WAS,2015,HOME,WAS,96,W,2,94,IND
2014-11-05,IND @ WAS,2015,VISITOR,IND,94,L,-2,96,WAS
2014-11-05,LAC @ GSW,2015,HOME,GSW,121,W,17,104,LAC
2014-11-05,LAC @ GSW,2015,VISITOR,LAC,104,L,-17,121,GSW
2014-11-05,MEM @ PHO,2015,HOME,PHO,91,L,-11,102,MEM
2014-11-05,MEM @ PHO,2015,VISITOR,MEM,102,W,11,91,PHO
2014-11-05,MIA @ CHA,2015,HOME,CHA,96,W,7,89,MIA
2014-11-05,MIA @ CHA,2015,VISITOR,MIA,89,L,-7,96,CHA
2014-11-05,MIN @ BKN,2015,HOME,BKN,91,L,-7,98,MIN
2014-11-05,MIN @ BKN,2015,VISITOR,MIN,98,W,7,91,BKN
2014-11-05,NYK @ DET,2015,HOME,DET,98,W,3,95,NYK
2014-11-05,NYK @ DET,2015,VISITOR,NYK,95,L,-3,98,DET
2014-11-05,ORL @ PHI,2015,HOME,PHI,89,L,-2,91,ORL
2014-11-05,ORL @ PHI,2015,VISITOR,ORL,91,W,2,89,PHI
2014-11-05,TOR @ BOS,2015,HOME,BOS,107,L,-3,110,TOR
2014-11-05,TOR @ BOS,2015,VISITOR,TOR,110,W,3,107,BOS
2014-11-06,DAL @ POR,2015,HOME,POR,108,W,21,87,DAL
2014-11-06,DAL @ POR,2015,VISITOR,DAL,87,L,-21,108,POR
2014-11-06,SAS @ HOU,2015,HOME,HOU,98,W,17,81,SAS
2014-11-06,SAS @ HOU,2015,VISITOR,SAS,81,L,-17,98,HOU
2014-11-07,ATL @ CHA,2015,HOME,CHA,122,W,3,119,ATL
2014-11-07,ATL @ CHA,2015,VISITOR,ATL,119,L,-3,122,CHA
2014-11-07,CHI @ PHI,2015,HOME,PHI,115,L,-3,118,CHI
2014-11-07,CHI @ PHI,2015,VISITOR,CHI,118,W,3,115,PHI
2014-11-07,CLE @ DEN,2015,HOME,DEN,101,L,-9,110,CLE
2014-11-07,CLE @ DEN,2015,VISITOR,CLE,110,W,9,101,DEN
2014-11-07,DAL @ UTA,2015,HOME,UTA,82,L,-23,105,DAL
2014-11-07,DAL @ UTA,2015,VISITOR,DAL,105,W,23,82,UTA
2014-11-07,IND @ BOS,2015,HOME,BOS,101,W,3,98,IND
2014-11-07,IND @ BOS,2015,VISITOR,IND,98,L,-3,101,BOS
2014-11-07,MEM @ OKC,2015,HOME,OKC,89,L,-2,91,MEM
2014-11-07,MEM @ OKC,2015,VISITOR,MEM,91,W,2,89,OKC
2014-11-07,MIL @ DET,2015,HOME,DET,98,W,3,95,MIL
2014-11-07,MIL @ DET,2015,VISITOR,MIL,95,L,-3,98,DET
2014-11-07,MIN @ ORL,2015,HOME,ORL,112,W,9,103,MIN
2014-11-07,MIN @ ORL,2015,VISITOR,MIN,103,L,-9,112,ORL
2014-11-07,NYK @ BKN,2015,HOME,BKN,110,W,11,99,NYK
2014-11-07,NYK @ BKN,2015,VISITOR,NYK,99,L,-11,110,BKN
2014-11-07,SAC @ PHO,2015,HOME,PHO,112,L,-2,114,SAC
2014-11-07,SAC @ PHO,2015,VISITOR,SAC,114,W,2,112,PHO
2014-11-07,WAS @ TOR,2015,HOME,TOR,103,W,19,84,WAS
2014-11-07,WAS @ TOR,2015,VISITOR,WAS,84,L,-19,103,TOR
2014-11-08,BOS @ CHI,2015,HOME,CHI,101,L,-5,106,BOS
2014-11-08,BOS @ CHI,2015,VISITOR,BOS,106,W,5,101,CHI
2014-11-08,GSW @ HOU,2015,HOME,HOU,87,L,-11,98,GSW
2014-11-08,GSW @ HOU,2015,VISITOR,GSW,98,W,11,87,HOU
2014-11-08,MEM @ MIL,2015,HOME,MIL,93,W,1,92,MEM
2014-11-08,MEM @ MIL,2015,VISITOR,MEM,92,L,-1,93,MIL
2014-11-08,MIN @ MIA,2015,HOME,MIA,102,W,10,92,MIN
2014-11-08,MIN @ MIA,2015,VISITOR,MIN,92,L,-10,102,MIA
2014-11-08,NOP @ SAS,2015,HOME,SAS,99,L,-1,100,NOP
2014-11-08,NOP @ SAS,2015,VISITOR,NOP,100,W,1,99,SAS
2014-11-08,NYK @ ATL,2015,HOME,ATL,103,W,7,96,NYK
2014-11-08,NYK @ ATL,2015,VISITOR,NYK,96,L,-7,103,ATL
2014-11-08,POR @ LAC,2015,HOME,LAC,106,W,4,102,POR
2014-11-08,POR @ LAC,2015,VISITOR,POR,102,L,-4,106,LAC
2014-11-08,WAS @ IND,2015,HOME,IND,90,L,-7,97,WAS
2014-11-08,WAS @ IND,2015,VISITOR,WAS,97,W,7,90,IND
2014-11-09,CHA @ LAL,2015,HOME,LAL,107,W,15,92,CHA
2014-11-09,CHA @ LAL,2015,VISITOR,CHA,92,L,-15,107,LAL
2014-11-09,DEN @ POR,2015,HOME,POR,116,W,16,100,DEN
2014-11-09,DEN @ POR,2015,VISITOR,DEN,100,L,-16,116,POR
2014-11-09,GSW @ PHO,2015,HOME,PHO,107,W,12,95,GSW
2014-11-09,GSW @ PHO,2015,VISITOR,GSW,95,L,-12,107,PHO
2014-11-09,MIA @ DAL,2015,HOME,DAL,96,L,-9,105,MIA
2014-11-09,MIA @ DAL,2015,VISITOR,MIA,105,W,9,96,DAL
2014-11-09,ORL @ BKN,2015,HOME,BKN,104,W,8,96,ORL
2014-11-09,ORL @ BKN,2015,VISITOR,ORL,96,L,-8,104,BKN
2014-11-09,PHI @ TOR,2015,HOME,TOR,120,W,32,88,PHI
2014-11-09,PHI @ TOR,2015,VISITOR,PHI,88,L,-32,120,TOR
2014-11-09,SAC @ OKC,2015,HOME,OKC,101,W,8,93,SAC
2014-11-09,SAC @ OKC,2015,VISITOR,SAC,93,L,-8,101,OKC
2014-11-09,UTA @ DET,2015,HOME,DET,96,L,-1,97,UTA
2014-11-09,UTA @ DET,2015,VISITOR,UTA,97,W,1,96,DET
2014-11-10,ATL @ NYK,2015,HOME,NYK,85,L,-6,91,ATL
2014-11-10,ATL @ NYK,2015,VISITOR,ATL,91,W,6,85,NYK
2014-11-10,DET @ CHI,2015,HOME,CHI,102,W,11,91,DET
2014-11-10,DET @ CHI,2015,VISITOR,DET,91,L,-11,102,CHI
2014-11-10,NOP @ CLE,2015,HOME,CLE,118,W,7,111,NOP
2014-11-10,NOP @ CLE,2015,VISITOR,NOP,111,L,-7,118,CLE
2014-11-10,SAS @ LAC,2015,HOME,LAC,85,L,-4,89,SAS
2014-11-10,SAS @ LAC,2015,VISITOR,SAS,89,W,4,85,LAC
2014-11-10,UTA @ IND,2015,HOME,IND,97,W,11,86,UTA
2014-11-10,UTA @ IND,2015,VISITOR,UTA,86,L,-11,97,IND
2014-11-11,CHA @ POR,2015,HOME,POR,102,W,2,100,CHA
2014-11-11,CHA @ POR,2015,VISITOR,CHA,100,L,-2,102,POR
2014-11-11,LAL @ MEM,2015,HOME,MEM,107,W,5,102,LAL
2014-11-11,LAL @ MEM,2015,VISITOR,LAL,102,L,-5,107,MEM
2014-11-11,OKC @ MIL,2015,HOME,MIL,85,W,7,78,OKC
2014-11-11,OKC @ MIL,2015,VISITOR,OKC,78,L,-7,85,MIL
2014-11-11,ORL @ TOR,2015,HOME,TOR,104,W,4,100,ORL
2014-11-11,ORL @ TOR,2015,VISITOR,ORL,100,L,-4,104,TOR
2014-11-11,SAC @ DAL,2015,HOME,DAL,106,W,8,98,SAC
2014-11-11,SAC @ DAL,2015,VISITOR,SAC,98,L,-8,106,DAL
2014-11-11,SAS @ GSW,2015,HOME,GSW,100,L,-13,113,SAS
2014-11-11,SAS @ GSW,2015,VISITOR,SAS,113,W,13,100,GSW
2014-11-12,BKN @ PHO,2015,HOME,PHO,112,W,8,104,BKN
2014-11-12,BKN @ PHO,2015,VISITOR,BKN,104,L,-8,112,PHO
2014-11-12,DET @ WAS,2015,HOME,WAS,107,W,4,103,DET
2014-11-12,DET @ WAS,2015,VISITOR,DET,103,L,-4,107,WAS
2014-11-12,HOU @ MIN,2015,HOME,MIN,101,L,-12,113,HOU
2014-11-12,HOU @ MIN,2015,VISITOR,HOU,113,W,12,101,MIN
2014-11-12,IND @ MIA,2015,HOME,MIA,75,L,-6,81,IND
2014-11-12,IND @ MIA,2015,VISITOR,IND,81,W,6,75,MIA
2014-11-12,LAL @ NOP,2015,HOME,NOP,109,W,7,102,LAL
2014-11-12,LAL @ NOP,2015,VISITOR,LAL,102,L,-7,109,NOP
2014-11-12,OKC @ BOS,2015,HOME,BOS,94,L,-15,109,OKC
2014-11-12,OKC @ BOS,2015,VISITOR,OKC,109,W,15,94,BOS
2014-11-12,ORL @ NYK,2015,HOME,NYK,95,L,-2,97,ORL
2014-11-12,ORL @ NYK,2015,VISITOR,ORL,97,W,2,95,NYK
2014-11-12,POR @ DEN,2015,HOME,DEN,113,L,-17,130,POR
2014-11-12,POR @ DEN,2015,VISITOR,POR,130,W,17,113,DEN
2014-11-12,UTA @ ATL,2015,HOME,ATL,100,W,3,97,UTA
2014-11-12,UTA @ ATL,2015,VISITOR,UTA,97,L,-3,100,ATL
2014-11-13,BKN @ GSW,2015,HOME,GSW,107,W,8,99,BKN
2014-11-13,BKN @ GSW,2015,VISITOR,BKN,99,L,-8,107,GSW
2014-11-13,CHI @ TOR,2015,HOME,TOR,93,L,-7,100,CHI
2014-11-13,CHI @ TOR,2015,VISITOR,CHI,100,W,7,93,TOR
2014-11-13,PHI @ DAL,2015,HOME,DAL,123,W,53,70,PHI
2014-11-13,PHI @ DAL,2015,VISITOR,PHI,70,L,-53,123,DAL
2014-11-13,SAC @ MEM,2015,HOME,MEM,111,W,1,110,SAC
2014-11-13,SAC @ MEM,2015,VISITOR,SAC,110,L,-1,111,MEM
2014-11-14,CHA @ PHO,2015,HOME,PHO,95,L,-8,103,CHA
2014-11-14,CHA @ PHO,2015,VISITOR,CHA,103,W,8,95,PHO
2014-11-14,CLE @ BOS,2015,HOME,BOS,121,L,-1,122,CLE
2014-11-14,CLE @ BOS,2015,VISITOR,CLE,122,W,1,121,BOS
2014-11-14,DEN @ IND,2015,HOME,IND,87,L,-21,108,DEN
2014-11-14,DEN @ IND,2015,VISITOR,DEN,108,W,21,87,IND
2014-11-14,DET @ OKC,2015,HOME,OKC,89,L,-7,96,DET
2014-11-14,DET @ OKC,2015,VISITOR,DET,96,W,7,89,OKC
2014-11-14,MIA @ ATL,2015,HOME,ATL,114,W,11,103,MIA
2014-11-14,MIA @ ATL,2015,VISITOR,MIA,103,L,-11,114,ATL
2014-11-14,MIL @ ORL,2015,HOME,ORL,101,W,16,85,MIL
2014-11-14,MIL @ ORL,2015,VISITOR,MIL,85,L,-16,101,ORL
2014-11-14,MIN @ NOP,2015,HOME,NOP,139,W,48,91,MIN
2014-11-14,MIN @ NOP,2015,VISITOR,MIN,91,L,-48,139,NOP
2014-11-14,PHI @ HOU,2015,HOME,HOU,88,W,1,87,PHI
2014-11-14,PHI @ HOU,2015,VISITOR,PHI,87,L,-1,88,HOU
2014-11-14,SAS @ LAL,2015,HOME,LAL,80,L,-13,93,SAS
2014-11-14,SAS @ LAL,2015,VISITOR,SAS,93,W,13,80,LAL
2014-11-14,UTA @ NYK,2015,HOME,NYK,100,L,-2,102,UTA
2014-11-14,UTA @ NYK,2015,VISITOR,UTA,102,W,2,100,NYK
2014-11-15,ATL @ CLE,2015,HOME,CLE,127,W,33,94,ATL
2014-11-15,ATL @ CLE,2015,VISITOR,ATL,94,L,-33,127,CLE
2014-11-15,BKN @ POR,2015,HOME,POR,97,W,10,87,BKN
2014-11-15,BKN @ POR,2015,VISITOR,BKN,87,L,-10,97,POR
2014-11-15,CHA @ GSW,2015,HOME,GSW,112,W,25,87,CHA
2014-11-15,CHA @ GSW,2015,VISITOR,CHA,87,L,-25,112,GSW
2014-11-15,DET @ MEM,2015,HOME,MEM,95,W,7,88,DET
2014-11-15,DET @ MEM,2015,VISITOR,DET,88,L,-7,95,MEM
2014-11-15,IND @ CHI,2015,HOME,CHI,90,L,-9,99,IND
2014-11-15,IND @ CHI,2015,VISITOR,IND,99,W,9,90,CHI
2014-11-15,MIN @ DAL,2015,HOME,DAL,131,W,14,117,MIN
2014-11-15,MIN @ DAL,2015,VISITOR,MIN,117,L,-14,131,DAL
2014-11-15,ORL @ WAS,2015,HOME,WAS,98,W,5,93,ORL
2014-11-15,ORL @ WAS,2015,VISITOR,ORL,93,L,-5,98,WAS
2014-11-15,PHO @ LAC,2015,HOME,LAC,120,W,13,107,PHO
2014-11-15,PHO @ LAC,2015,VISITOR,PHO,107,L,-13,120,LAC
2014-11-15,SAS @ SAC,2015,HOME,SAC,94,W,3,91,SAS
2014-11-15,SAS @ SAC,2015,VISITOR,SAS,91,L,-3,94,SAC
2014-11-15,UTA @ TOR,2015,HOME,TOR,111,W,18,93,UTA
2014-11-15,UTA @ TOR,2015,VISITOR,UTA,93,L,-18,111,TOR
2014-11-16,DEN @ NYK,2015,HOME,NYK,109,W,16,93,DEN
2014-11-16,DEN @ NYK,2015,VISITOR,DEN,93,L,-16,109,NYK
2014-11-16,GSW @ LAL,2015,HOME,LAL,115,L,-21,136,GSW
2014-11-16,GSW @ LAL,2015,VISITOR,GSW,136,W,21,115,LAL
2014-11-16,HOU @ OKC,2015,HOME,OKC,65,L,-4,69,HOU
2014-11-16,HOU @ OKC,2015,VISITOR,HOU,69,W,4,65,OKC
2014-11-16,MIL @ MIA,2015,HOME,MIA,84,L,-7,91,MIL
2014-11-16,MIL @ MIA,2015,VISITOR,MIL,91,W,7,84,MIA
2014-11-17,CHI @ LAC,2015,HOME,LAC,89,L,-16,105,CHI
2014-11-17,CHI @ LAC,2015,VISITOR,CHI,105,W,16,89,LAC
2014-11-17,DAL @ CHA,2015,HOME,CHA,80,L,-27,107,DAL
2014-11-17,DAL @ CHA,2015,VISITOR,DAL,107,W,27,80,CHA
2014-11-17,DEN @ CLE,2015,HOME,CLE,97,L,-9,106,DEN
2014-11-17,DEN @ CLE,2015,VISITOR,DEN,106,W,9,97,CLE
2014-11-17,HOU @ MEM,2015,HOME,MEM,119,W,26,93,HOU
2014-11-17,HOU @ MEM,2015,VISITOR,HOU,93,L,-26,119,MEM
2014-11-17,MIA @ BKN,2015,HOME,BKN,83,L,-12,95,MIA
2014-11-17,MIA @ BKN,2015,VISITOR,MIA,95,W,12,83,BKN
2014-11-17,NOP @ POR,2015,HOME,POR,102,W,9,93,NOP
2014-11-17,NOP @ POR,2015,VISITOR,NOP,93,L,-9,102,POR
2014-11-17,ORL @ DET,2015,HOME,DET,93,L,-14,107,ORL
2014-11-17,ORL @ DET,2015,VISITOR,ORL,107,W,14,93,DET
2014-11-17,PHI @ SAS,2015,HOME,SAS,100,W,25,75,PHI
2014-11-17,PHI @ SAS,2015,VISITOR,PHI,75,L,-25,100,SAS
2014-11-17,PHO @ BOS,2015,HOME,BOS,114,L,-4,118,PHO
2014-11-17,PHO @ BOS,2015,VISITOR,PHO,118,W,4,114,BOS
2014-11-18,LAL @ ATL,2015,HOME,ATL,109,L,-5,114,LAL
2014-11-18,LAL @ ATL,2015,VISITOR,LAL,114,W,5,109,ATL
2014-11-18,NOP @ SAC,2015,HOME,SAC,100,L,-6,106,NOP
2014-11-18,NOP @ SAC,2015,VISITOR,NOP,106,W,6,100,SAC
2014-11-18,NYK @ MIL,2015,HOME,MIL,117,W,4,113,NYK
2014-11-18,NYK @ MIL,2015,VISITOR,NYK,113,L,-4,117,MIL
2014-11-18,OKC @ UTA,2015,HOME,UTA,98,W,17,81,OKC
2014-11-18,OKC @ UTA,2015,VISITOR,OKC,81,L,-17,98,UTA
2014-11-19,BOS @ PHI,2015,HOME,PHI,90,L,-11,101,BOS
2014-11-19,BOS @ PHI,2015,VISITOR,BOS,101,W,11,90,PHI
2014-11-19,CHA @ IND,2015,HOME,IND,88,W,2,86,CHA
2014-11-19,CHA @ IND,2015,VISITOR,CHA,86,L,-2,88,IND
2014-11-19,DAL @ WAS,2015,HOME,WAS,102,L,-3,105,DAL
2014-11-19,DAL @ WAS,2015,VISITOR,DAL,105,W,3,102,WAS
2014-11-19,LAC @ ORL,2015,HOME,ORL,90,L,-24,114,LAC
2014-11-19,LAC @ ORL,2015,VISITOR,LAC,114,W,24,90,ORL
2014-11-19,LAL @ HOU,2015,HOME,HOU,92,L,-6,98,LAL
2014-11-19,LAL @ HOU,2015,VISITOR,LAL,98,W,6,92,HOU
2014-11-19,MEM @ TOR,2015,HOME,TOR,96,W,4,92,MEM
2014-11-19,MEM @ TOR,2015,VISITOR,MEM,92,L,-4,96,TOR
2014-11-19,MIL @ BKN,2015,HOME,BKN,118,L,-4,122,MIL
2014-11-19,MIL @ BKN,2015,VISITOR,MIL,122,W,4,118,BKN
2014-11-19,NYK @ MIN,2015,HOME,MIN,115,W,16,99,NYK
2014-11-19,NYK @ MIN,2015,VISITOR,NYK,99,L,-16,115,MIN
2014-11-19,OKC @ DEN,2015,HOME,DEN,107,W,7,100,OKC
2014-11-19,OKC @ DEN,2015,VISITOR,OKC,100,L,-7,107,DEN
2014-11-19,PHO @ DET,2015,HOME,DET,86,L,-2,88,PHO
2014-11-19,PHO @ DET,2015,VISITOR,PHO,88,W,2,86,DET
2014-11-19,SAS @ CLE,2015,HOME,CLE,90,L,-2,92,SAS
2014-11-19,SAS @ CLE,2015,VISITOR,SAS,92,W,2,90,CLE
2014-11-20,CHI @ SAC,2015,HOME,SAC,103,W,15,88,CHI
2014-11-20,CHI @ SAC,2015,VISITOR,CHI,88,L,-15,103,SAC
2014-11-20,LAC @ MIA,2015,HOME,MIA,93,L,-17,110,LAC
2014-11-20,LAC @ MIA,2015,VISITOR,LAC,110,W,17,93,MIA
2014-11-21,BKN @ OKC,2015,HOME,OKC,92,L,-2,94,BKN
2014-11-21,BKN @ OKC,2015,VISITOR,BKN,94,W,2,92,OKC
2014-11-21,BOS @ MEM,2015,HOME,MEM,117,W,17,100,BOS
2014-11-21,BOS @ MEM,2015,VISITOR,BOS,100,L,-17,117,MEM
2014-11-21,CHI @ POR,2015,HOME,POR,105,W,18,87,CHI
